Produto,Preço,Quantidade,Data
Mesa,235.76,18,2023-01-01
Mesa,295.82,7,2023-01-02
Mesa,235.59,8,2023-01-03
Sofá,171.8,19,2023-01-04
Sofá,168.39,12,2023-01-05
Cadeira,285.38,18,2023-01-06
Cadeira,449.83,10,2023-01-07
Mesa,477.65,15,2023-01-08
Mesa,343.3,10,2023-01-09
Sofá,338.66,19,2023-01-10
Cadeira,413.46,1,2023-01-11
Cadeira,300.01,10,2023-01-12
Sofá,120.15,12,2023-01-13
Mesa,379.64,18,2023-01-14
Cadeira,496.96,10,2023-01-15
Cadeira,206.91,1,2023-01-16
Cadeira,371.64,17,2023-01-17
Cadeira,445.71,11,2023-01-18
Cadeira,400.34,5,2023-01-19
Sofá,485.8,4,2023-01-20
Sofá,321.7,9,2023-01-21
Sofá,184.96,15,2023-01-22
Mesa,188.98,1,2023-01-23
Cadeira,187.5,9,2023-01-24
Sofá,327.83,8,2023-01-25
Cadeira,280.84,14,2023-01-26
Cadeira,488.09,18,2023-01-27
Cadeira,372.22,1,2023-01-28
Cadeira,134.12,12,2023-01-29
Mesa,122.57,5,2023-01-30
